,name,discount_price,price,discount %,cpu,ram,storage,classification,brand_name
72,"Lenovo ThinkPad P14S G5 21G20029US - 14.5"" - Core Ultra 7 155H - 16GB Ram - 512GB SSD - RTX 500 Ada 4GB",1650.0,2000.0,-18.0,Intel®,6,512.0,Hight End,lenovo
73,"ASUS Zenbook S 16 (UM5606) Copilot+ PC - 16"" Touchscreen - Ryzen AI 9 365 - 24GB Ram - 1TB SSD - AMD Radeon 880M",1550.0,1800.0,-14.0,AMD,4,1000.0,Mid End,asus
75,"Lenovo ThinkPad X1 Carbon Gen 11 21HM000SUS - 14"" Touchscreen - Core I7-1365U - 32GB Ram - 512GB SSD - Intel Iris Xe",1200.0,1700.0,-29.0,Intel®,3,512.0,Mid End,lenovo
76,"HP ProBook 460 G11 - A22ZZEA - 16"" - Core Ultra 5 125U - 8GB Ram - 512GB SSD - Intel Integrated Graphics",800.0,900.0,-11.0,Intel®,8,512.0,Mid End,hp
77,"HP ProBook 450 G10 85C38EA - 15.6"" Touchscreen - Core I7-1355U - 16GB Ram - 512GB SSD - RTX 2050 4GB",930.0,1050.0,-11.0,Intel®,6,512.0,Mid End,hp
78,"HP 250 G10 85C50EA - 15.6"" - Core I5-1334U - 8GB Ram - 512GB SSD - Intel UHD Graphics",555.0,610.0,-9.0,Intel®,8,512.0,Budget,hp
80,"Microsoft Surface Laptop 6 ZLT-00001 - 15"" Touchscreen - Core Ultra 7 165U - 32GB Ram - 512GB SSD - Intel Arc Graphics",2200.0,2300.0,-4.0,Intel,3,512.0,Hight End,microsoft
82,"Lenovo IdeaPad Flex 5 82R700L4US - 14"" Touchscreen - Core I3-1215U - 8GB Ram - 256GB SSD - Intel UHD Graphics",449.0,570.0,-21.0,Intel®,8,256.0,Budget,lenovo
83,"HP Laptop 15-Fd0371nia - 15.6"" -  Core I7-1355U - 8GB Ram - 512GB SSD - MX570 2GB",699.0,800.0,-13.0,Intel®,8,512.0,Budget,hp
84,"HP ProBook 460 G11 - A23C9EA#BH5 - 16"" - Core Ultra 7 155U - 16GB Ram - 512GB SSD - Intel Integrated Graphics",850.0,1000.0,-15.0,Intel®,6,512.0,Mid End,hp
85,"Lenovo Ideapad 3 82KU00EAED - 15.6"" - Ryzen 7 5700U - 8GB Ram - 512GB SSD - AMD Radeon Graphics",500.0,550.0,-9.0,AMD,4,512.0,Budget,lenovo
86,"Lenovo Yoga 7 2-In-1 14AHP9 - 14"" Touchscreen - Ryzen 5 8640HS - 16GB Ram - 512GB SSD - AMD Radeon 760M",699.0,850.0,-18.0,,6,512.0,Budget,lenovo
87,"Lenovo Thinkpad P1 G7 21KV0010US - 16"" - Core Ultra 7 155H - 16GB Ram - 512GB SSD - NVIDIA RTX 1000 Ada 6GB",2000.0,2200.0,-9.0,Intel®,6,512.0,Hight End,lenovo
88,"Lenovo ThinkPad T14 Gen 5 - 14"" - Core Ultra 7 155U - 16GB Ram - 512GB SSD - Intel UHD Graphics",1350.0,1700.0,-21.0,Intel®,6,512.0,Mid End,lenovo
89,"Microsoft Surface Laptop (7th Edition) Copilot+ PC - 15"" TouchScreen - Snapdragon X Elite - 16GB Ram - 256GB SSD - Qualcomm Adreno GPU - Platinum",1450.0,1650.0,-12.0,Snapdragon®,6,256.0,Mid End,microsoft
90,"Lenovo ThinkPad E14 G5 21JK009AGP - 14"" - Core I7-1355U - 8GB Ram - 512GB SSD - MX550 2GB - Includes Lenovo Laptop Casual Toploader",950.0,1100.0,-14.0,Intel®,8,512.0,Mid End,lenovo
91,"Microsoft Surface Laptop (7th Edition) Copilot+ PC - 15"" TouchScreen - Snapdragon X Elite - 16GB Ram - 256GB SSD - Qualcomm Adreno GPU",1450.0,2200.0,-34.0,Snapdragon®,6,256.0,Hight End,microsoft
92,"Lenovo IdeaPad 5 2-In-1 83DR0002US - 14.0"" Touchscreen - AMD Ryzen™ 7 8845HS - 16GB Ram - 1TB SSD - Integrated AMD Radeon™ 780M Graphics",850.0,1000.0,-15.0,,6,1000.0,Mid End,lenovo
93,"HP ProBook 460 G11 - A1LE0UT#ABA - 16"" - Core Ultra 7 155U - 32GB Ram - 512GB SSD - Intel Integrated Graphics",910.0,1300.0,-30.0,Intel®,3,512.0,Mid End,hp
